month,ncb,programme,wam_years
2018-03-01,EE,PSPP,0.28
2018-03-01,ES,PSPP,8.18
2018-03-01,FI,PSPP,7.12
2018-03-01,FR,PSPP,7.61
2018-03-01,IE,PSPP,9.09
2018-03-01,IT,PSPP,7.97
2018-03-01,LT,PSPP,8.27
2018-03-01,LU,PSPP,5.5
2018-03-01,LV,PSPP,8.12
2018-03-01,MT,PSPP,11.21
2018-03-01,NL,PSPP,7.32
2018-03-01,PT,PSPP,8.14
2018-03-01,SI,PSPP,10.71
2018-03-01,SK,PSPP,8.46
2018-04-01,AT,PSPP,8.75
2018-04-01,BE,PSPP,9.66
2018-04-01,CY,PSPP,3.87
2018-04-01,DE,PSPP,6.45
2018-04-01,EE,PSPP,0.2
2018-04-01,ES,PSPP,8.41
2018-04-01,FI,PSPP,7.07
2018-04-01,FR,PSPP,7.6
2018-04-01,IE,PSPP,9.18
2018-04-01,IT,PSPP,7.94
2018-04-01,LT,PSPP,8.12
2018-04-01,LU,PSPP,5.47
2018-04-01,LV,PSPP,8.07
2018-04-01,MT,PSPP,11.13
2018-04-01,NL,PSPP,7.5
2018-04-01,PT,PSPP,8.16
2018-04-01,SI,PSPP,10.75
2018-04-01,SK,PSPP,8.6
2018-05-01,AT,PSPP,8.66
2018-05-01,BE,PSPP,9.65
2018-05-01,CY,PSPP,3.78
2018-05-01,DE,PSPP,6.37
2018-05-01,EE,PSPP,0.12
2018-05-01,ES,PSPP,8.38
2018-05-01,FI,PSPP,7.04
2018-05-01,FR,PSPP,7.62
2018-05-01,IE,PSPP,9.18
2018-05-01,IT,PSPP,7.93
2018-05-01,LT,PSPP,8.23
2018-05-01,LU,PSPP,5.39
2018-05-01,LV,PSPP,8.3
2018-05-01,MT,PSPP,10.95
2018-05-01,NL,PSPP,7.44
2018-05-01,PT,PSPP,8.16
2018-05-01,SI,PSPP,10.73
2018-05-01,SK,PSPP,8.62
2018-06-01,AT,PSPP,8.57
2018-06-01,BE,PSPP,9.72
2018-06-01,CY,PSPP,3.7
2018-06-01,DE,PSPP,6.41
2018-06-01,EE,PSPP,0.03
2018-06-01,ES,PSPP,8.35
2018-06-01,FI,PSPP,7.04
2018-06-01,FR,PSPP,7.58
2018-06-01,IE,PSPP,9.18
2018-06-01,IT,PSPP,7.93
2018-06-01,LT,PSPP,8.3
2018-06-01,LU,PSPP,5.31
2018-06-01,LV,PSPP,8.58
2018-06-01,MT,PSPP,10.78
2018-06-01,NL,PSPP,7.37
2018-06-01,PT,PSPP,8.13
2018-06-01,SI,PSPP,10.71
2018-06-01,SK,PSPP,8.6
2018-07-01,AT,PSPP,8.49
2018-07-01,BE,PSPP,9.63
2018-07-01,CY,PSPP,3.61
2018-07-01,DE,PSPP,6.44
